id,title,org,gov_est_price,bid_won_price,percentage
2024_PWD_89852_1,AMC of one NO. 13 passenger stretcher elevator installed in Auditorium building at IGMC Shimla for the year 2024-25.,PWD,211776.0,210505.0,-0.6
2024_PWD_89570_1,Construction of Senior Secondary School building at Gumma Tehsil Kotkhai District Shimla. SH Providing E.I. therein.,PWD,937508.0,773444.0,-17.5
2024_PWD_89567_1,Construction of Senior Secondary School building at Devgarh Tehsil Kotkhai District Shimla. H.P. SH Providing E.I. therein.,PWD,866680.0,723678.0,-16.5
2024_PWD_89521_1,Construction of multipurpose Hall Govt. P.G. College at Seema District Shimla. SH Providing E.I. therein.,PWD,2342478.0,1988295.0,-15.12
2024_PWD_88836_1,Providing additional fire fighting accessories and RRL hose in compliance to fire department report at New OPD Block and Trauma Block IGMC Shimla.,PWD,979326.0,979326.0,0.0
2024_PWD_88426_1,NA,PWD,1370304.0,1301789.0,-5.0
2024_PWD_88425_3,NA,PWD,913166.0,954258.0,4.5
2024_PWD_88425_2,NA,PWD,1831568.0,1904831.0,4.0
2024_PWD_88425_1,NA,PWD,1727299.0,1805027.0,4.5
2024_PWD_87784_1,Replacement of E.I in Directorate Fisheries Office Building at Bilaspur in Distt. Bilaspur H.P,PWD,2036882.0,1425817.0,-30.0
2024_PWD_87355_1,Construction of Boys Hostel Rohru District Shimla.SH Providing E.I. therein.,PWD,2387820.0,1922195.0,-19.5
2024_PWD_87350_1,Construction of canteen labs and mortuary for Community Health Centre CHC Pooh in District Kinnaur. SH Providing 2 body mortuary units therein.,PWD,688770.0,702545.0,2.0
2024_PWD_87235_3,NA,PWD,1939145.0,1492172.0,-23.05
2024_PWD_87235_2,NA,PWD,1455814.0,1091715.0,-25.01
2024_PWD_86257_3,NA,PWD,857483.0,703050.0,-18.01
2024_PWD_85882_4,C/O Centre of Excellence in Mental Health for Dr. RPGMC Kangra at Tanda. (SH- Providing Transformer incomer panel and Balance work therein),PWD,2505315.0,2547905.0,1.7
2024_PWD_85460_1,Construction of Govt Sr Sec School building Chagaon District Kinnaur. SH Providing E.I. therein.,PWD,720129.0,754407.0,4.76
2024_PWD_85449_1,Construction of Combined office building of Ayurveda Panchayat Society and Panchayat Ghar at Asrang in District Kinnaur. SH Providing electrical installation therein.,PWD,731820.0,766655.0,4.76
2024_PWD_85443_1,Construction of canteen lab and mortuary for community health centre CHC Pooh in District Kinnaur. H.P. SH Providing electrical installation therien.,PWD,715044.0,749081.0,4.76
2024_PWD_84570_5,NA,PWD,1299019.0,1063247.0,-18.15
2024_PWD_84570_3,NA,PWD,920400.0,929604.0,1.0
2024_PWD_84570_2,NA,PWD,920400.0,934206.0,1.5
2024_PWD_83633_1,"Recharging of refrigerent in Daikin make VRF machines, circuit and refixing of indoor units installed at New OPD Block IGMC Shimla.",PWD,759217.0,796798.0,4.95
2024_PWD_83630_1,Construction of Govt. Sr. School at Ranol Sub Tehsil Jangla District Shimla. SH Providing E.I. therein.,PWD,982365.0,844832.0,-14.0
2024_PWD_83620_1,Providing Low Noise Decorative Fan Coil Units at Examination Hall Block E and Lecture Theatres Number 1 and 2 at IGMC Shimla.,PWD,1518391.0,1594006.0,4.98
2024_PWD_83609_1,"Providing fire fighting material in IGMC Complex Shimla SH Providing RRL fire hose, fire hose box, stainless steel branch pipe, manual swing type fire hose reel and other accessories therein.",PWD,1720545.0,898641.0,-47.77
2024_PWD_83596_1,Construction of Auditorium Block at HIPA Fairlawn Shimla. SH Providing E.I. therein.,PWD,537132.0,558349.0,3.95
2024_PWD_83594_1,Construction of Govt. Sr. Sec. School Bartu Sub-Tehsil Jangla District Shimla. SH Providing E.I. therein.,PWD,1131069.0,972832.0,-13.99
2024_HPSEB_91833_1,"Tender for providing SOP to Municipal committee Bilaspur by providing 11KV CT/PT combined unit out door type along with LT line from proposed 100 KVA, 11/0.4KV substation CLC in (E) section Roura under ESD No. II HPSEBL Bilaspur.",HPSEBL||CE(OP) CZ Mandi||SE(OP) Bilaspur||Sr. Xen (E) Bilaspur,730263.0,730190.0,-0.01
2024_HPSEB_91740_1,"Providing and fixing of PLC,SMPS Relay card, governor panel digital meter Control panel cable wiring repair of AVR Programming of PLC, Governor panel miscellaneous items switch, fuse etc.for Machine-ii 2X450 KW MHEP Sach (U) ESD Sach, ED Killar",HPSEBL||CE (OP) North||SE (OP) Dalhousie,709976.0,737523.0,3.88
2024_HPSEB_91734_1,"Tender for Supply of material , design, erection, testing, commissioning for for R/R of 11 KV HT line Bhgarwan feeder from Village Haled to Bhogarwan damaged due to heavy flood on dated 15.08.2023 under ESD Rey ED Fatehpur",HPSEBL||CE (OP) North||SE (OP) Dalhousie,677357.0,575754.0,-15.0
2024_HPSEB_91727_1,"Tender for Supply of material , erection, testing , commissioning for SOP to JSV for T/Well (LWSS Makroli etc.) by Prov. 11/.4 KV 250 KVA S/Stn. at Village Surarwan (Lambi Pattian) a/w 11 KV HT/LT line , in ESD Rey ED Fatehpur",HPSEBL||CE (OP) North||SE (OP) Dalhousie,1679062.0,1376831.0,-18.0
2024_HPSEB_91563_1,05-2024-25,HPSEBL||CE(OP) South||SE(OP) Solan,3418582.0,2423775.0,-29.1
2024_HPSEB_91553_1,SEOP 06/2024-25,HPSEBL||CE (OP) North||SE (OP) Kangra,666886.0,680974.0,2.113
2024_HPSEB_91365_1,04-2024-25,HPSEBL||CE(OP) South||SE(OP) Solan,2457658.0,2205994.0,-10.24
2024_HPSEB_91309_1,"Estimate for prov. SOP to JSV by aug 100 to 250 KVA, 11/0.4 KV S/Stn LWSS Maharal a/w new S/Stn Structure on partial turnkey basis under ESD HPSEBL Bijhar.ED Barsar",HPSEBL||CE(OP) CZ Mandi||SE(OP) Hamirpur||Sr. Xen (E) Barsar,588416.0,584150.0,-0.725
2024_HPSEB_91299_1,"Estimate for prov. SOP to LWSS Droon Nagorian by prov. aug 25 to 63 KVA, 11/0.4 KV DTR Chandwan a/w 3-ph LT line on Partial turnkey basis ESD HPSEBL Bhota. ED Barsar",HPSEBL||CE(OP) CZ Mandi||SE(OP) Hamirpur||Sr. Xen (E) Barsar,503433.0,446797.0,-11.25
2024_HPSEB_91295_1,"Estimate for prov. SOP to JSV by aug 100 to 250 KVA, 11/0.4 KV S/Stn Bumbloo on partial turnkey basis under ESD HPSEBL Barsar.ED Barsar",HPSEBL||CE(OP) CZ Mandi||SE(OP) Hamirpur||Sr. Xen (E) Barsar,718981.0,638096.0,-11.25
2024_HPSEB_91265_1,"Construction of 100 KVA, 11/0.4KV S/Stn a/w 11 KV HT line to prov. SOP to BPCL for setup CNG Station at M/s Vibhuti Filling Station on Partial turnkey basis under ESD HPSEBL Barsar. ED Barsar",HPSEBL||CE(OP) CZ Mandi||SE(OP) Hamirpur||Sr. Xen (E) Barsar,718389.0,637570.0,-11.25
2024_HPSEB_91260_1,"Construction of 63 KVA, 11/0.4KV S/Stn a/w 11 KV HT and 3-Ph LT line to provide SOP to LIS JICA Phase-II Rohwin on Partial turnkey basis under ESD HPSEBL Bhoranj. ED Barsar",HPSEBL||CE(OP) CZ Mandi||SE(OP) Hamirpur||Sr. Xen (E) Barsar,714877.0,711196.0,-0.515
